Financial_Metric,Mar 2023,Mar 2024,Mar 2025
Equity Capital,99,99,99
Reserves,4035,5031,5781
Borrowings,115,141,201
Other Liabilities,1783,2110,2189
Total Liabilities,6032,7381,8270
Fixed Assets,3026,4366,4854
CWIP,709,823,1068
Investments,1310,1069,1162
Other Assets,988,1123,1186
Total Assets,6032,7381,8270
