Financial_Metric,Mar 2023,Mar 2024,Mar 2025
Sales,6299.0,6290.0,7264.0
Expenses,5115.0,4446.0,5695.0
Operating Profit,1184.0,1844.0,1569.0
OPM,19.0,29.0,22.0
Other Income,112.0,175.0,167.0
Interest,9.0,13.0,14.0
Depreciation,231.0,284.0,352.0
Profit before tax,1056.0,1722.0,1370.0
Tax,25.0,26.0,24.0
Net Profit,790.0,1276.0,1040.0
EPS in Rs,79.98,129.22,105.34
Dividend Payout,20.0,23.0,28.0
