Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,1436,2616,1754,3597,3114,3933,5023,6493,5235,9310,11410,10933
Cash from Investing Activity,451,-10064,-1992,-2677,-5865,1778,-578,-2207,-8517,-4192,-9130,-12601
Cash from Financing Activity,-687,6972,-2603,-871,2758,-5698,-940,-7331,3702,-5615,-2521,1637
Net Cash Flow,1201,-477,-2841,49,7,12,3504,-3045,420,-498,-241,-30
