Financial_Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,664,653,946,879,1157,1361,1546,1898,2231,1532,2199
Cash from Investing Activity,-364,-175,-1114,-717,-1121,-521,-1826,-1585,-841,-1103,-1519
Cash from Financing Activity,-327,-256,-160,-84,-169,-243,-297,-328,-1359,-316,-754
Net Cash Flow,-27,223,-328,78,-133,597,-577,-15,31,113,-74
