Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,3286,6483,5981,7415,7014,6364,4574,7375,8345,6693,7166,12596
Cash from Investing Activity,-4026,-3609,-3865,-1805,-7373,-1512,-272,-493,993,-6250,-7263,-9027
Cash from Financing Activity,-593,-3265,-2239,-6183,937,-4726,-5184,-5110,-7603,-1183,1341,-4497
Net Cash Flow,-1333,-392,-123,-574,579,126,-883,1773,1736,-741,1243,-928
