Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,1568,1355,2251,2550,2356,2764,2425,3610,2988,3167,3456,4258
Cash from Investing Activity,-3725,-885,-1158,-911,-2122,-2418,-1828,-1129,-910,-2483,-3216,-3544
Cash from Financing Activity,2090,437,-1206,-2163,-674,-311,-617,-2506,-2061,-502,-341,-551
Net Cash Flow,-67,908,-112,-523,-440,34,-20,-25,16,182,-101,163
