Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,9588,20742,11119,9041,11068,10157,7881,23455,20336,12466,35936,23678
Cash from Investing Activity,-6881,-10536,-9233,-15274,-7066,-10451,-11135,-2474,-8138,-7806,-10521,-19180
Cash from Financing Activity,-3736,-9792,-1332,4804,-4218,207,3583,-13981,-17672,-4402,-25427,-6241
Net Cash Flow,-1029,414,555,-1429,-215,-87,329,7000,-5474,257,-12,-1743
