Financial_Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,28,649,1625,1965,1601,3127,7265,7713,8364
Cash from Investing Activity,-1511,-4428,-2666,-3743,-9137,-18730,-3857,-21060,-19827
Cash from Financing Activity,1559,3942,1045,2161,7083,15986,-2973,13953,12068
Net Cash Flow,76,162,3,383,-453,383,435,606,605
