Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,16508,16531,14889,24125,20167,19670,18686,23890,32444,41788,47152,40785
Cash from Investing Activity,-16845,-15509,-15977,-19162,-24480,-20678,-24063,-29628,-21034,-22891,-26145,-32141
Cash from Financing Activity,988,-2709,-1474,-3899,3138,1028,4927,6004,-11049,-19172,-21217,-8246
Net Cash Flow,651,-1687,-2563,1064,-1176,19,-451,266,360,-274,-210,398
