Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,3238,5824,5257,4725,5101,5610,5598,7014,10233,8431,14170,21501
Cash from Investing Activity,-4700,-4737,-2692,-1212,-520,-984,-2304,-2188,774,1545,3481,-17142
Cash from Financing Activity,1631,-1144,-2713,-3539,-4600,-4663,-2377,-5655,-10338,-10408,-16864,-5175
Net Cash Flow,169,-58,-148,-26,-19,-37,917,-828,669,-433,787,-816
