Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,7007,19410,6651,10254,11037,8554,5469,17829,15810,-3466,23852,14228
Cash from Investing Activity,-5152,-5667,-4272,-5304,-7398,-11382,-14168,-12279,-13745,-11384,-13019,-10557
Cash from Financing Activity,-1256,-14699,-3674,-4239,-4423,2598,8452,-4709,-2066,16025,-16155,-4138
Net Cash Flow,600,-956,-1295,712,-784,-230,-247,841,-1,1175,-5322,-467
