index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2013,490,-331,-39,121
Mar 2014,388,-573,147,-38
Mar 2015,558,-587,-48,-77
Mar 2016,650,-503,-151,-3
Mar 2017,551,66,-621,-4
Mar 2018,428,-353,-55,20
Mar 2019,2358,-1306,-1019,33
Mar 2020,860,-306,-575,-20
Mar 2021,776,-81,-717,-22
Mar 2022,595,-121,-439,34
Mar 2023,666,-135,-534,-3
Mar 2024,696,-277,-419,1
