index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,74,-26,-49,-1
Mar 2015,1,3,-21,-17
Mar 2016,76,-53,-17,6
Mar 2017,92,-16,-67,10
Mar 2018,169,-136,-39,-6
Mar 2019,90,-24,-68,-3
Mar 2020,157,85,-81,161
Mar 2021,237,-237,-45,-45
Mar 2022,75,-172,42,-56
Mar 2023,-64,-656,658,-61
Mar 2024,750,-1093,336,-8
Mar 2025,571,-511,-47,13
