Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,1441,1409,1396,2585,2839,2356,8739,7212,6496,7751,1822,10151
Cash from Investing Activity,-427,-463,-1734,-1022,-2059,-31282,-2666,-2426,-3575,-1354,-2010,-1840
Cash from Financing Activity,-1680,-991,469,140,-801,28893,-2175,-6713,-1921,-6227,164,-4793
Net Cash Flow,-667,-45,131,1703,-21,-33,3898,-1927,1000,170,-24,3518
