Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,315,340,574,470,335,736,1102,873,519,1319,1204,1242
Cash from Investing Activity,-291,-298,-452,-529,-610,-797,-1124,-1322,-1169,-1330,-1310,-1398
Cash from Financing Activity,-22,-23,-128,58,279,833,-535,614,412,38,35,-73
Net Cash Flow,2,19,-7,0,4,772,-557,165,-239,27,-71,-229
