Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,74,1,76,92,169,90,157,237,75,-64,750,571
Cash from Investing Activity,-26,3,-53,-16,-136,-24,85,-237,-172,-656,-1093,-511
Cash from Financing Activity,-49,-21,-17,-67,-39,-68,-81,-45,42,658,336,-47
Net Cash Flow,-1,-17,6,10,-6,-3,161,-45,-56,-61,-8,13
