Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,394,552,907,794,796,845,1280,1392,955,1558,2724,2287
Cash from Investing Activity,-99,-436,-491,-879,39,-513,103,-1688,-558,-899,-1769,-1542
Cash from Financing Activity,-242,-165,-371,41,-790,-361,-849,-76,-468,-656,-742,-918
Net Cash Flow,54,-49,45,-45,46,-29,533,-372,-71,2,212,-173
