index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2023,4600.0,3505.0,1095.0,24.0,-77.0,23.0,109.0,886.0,26.0,656.0,6.8
Jun 2024,4814.0,3700.0,1114.0,23.0,39.0,32.0,113.0,1009.0,26.0,747.0,7.74
Sep 2024,5104.0,3940.0,1164.0,23.0,190.0,32.0,122.0,1200.0,25.0,899.0,9.33
Dec 2024,4780.0,3685.0,1095.0,23.0,4.0,35.0,150.0,914.0,25.0,688.0,7.14
Mar 2025,5504.0,4127.0,1377.0,25.0,8.0,38.0,155.0,1192.0,27.0,873.0,9.06
