index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Dec 2023,19126.0,14655.0,4471.0,23.0,116.0,119.0,429.0,4038.0,26.0,2999.0,31.1,56.0
Mar 2025,20202.0,15452.0,4750.0,24.0,242.0,136.0,540.0,4316.0,26.0,3208.0,33.27,81.0
