index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2013,323,-130,-188,5
Mar 2014,428,-140,-301,-13
Mar 2015,534,-237,-215,82
Mar 2016,562,-1313,502,-249
Mar 2017,730,-306,-496,-72
Mar 2018,588,-276,-324,-12
Mar 2019,554,-26,-428,100
Mar 2020,531,-231,-405,-106
Mar 2021,922,-224,-688,9
Mar 2022,644,-234,-402,8
Mar 2023,749,-122,-608,19
Mar 2024,779,-210,-563,6
