Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,377,564,497,1419,1514,350,739,432,781,1356,2162,2084
Cash from Investing Activity,-1246,-102,-377,-354,-1825,-1394,-362,-950,-2841,-1528,-1859,-2162
Cash from Financing Activity,886,-455,-71,-1108,277,1053,-287,522,2228,132,-299,-47
Net Cash Flow,17,7,50,-43,-33,9,90,3,167,-40,3,-126
