Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,-689,-941,490,-566,1155,478,-232,-671,-452,-2861,-693,-2242
Cash from Investing Activity,-185,-96,191,14,-973,-971,-1721,-3317,127,2564,-1974,-4307
Cash from Financing Activity,1566,852,-554,335,-493,970,1974,4259,235,832,3258,6710
Net Cash Flow,692,-184,126,-217,-311,476,22,271,-90,536,591,160
