Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,106,148,-478,435,514,1072,762,2226,1839,2140,1540,1297
Cash from Investing Activity,-662,-693,-426,-710,-522,-2005,-549,-2346,355,-4016,-2697,-2455
Cash from Financing Activity,823,371,1104,225,-80,960,87,252,-634,1598,546,1969
Net Cash Flow,267,-174,200,-50,-87,26,300,133,1560,-278,-612,812
