index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2023,969,-649,-285,35
Mar 2024,1568,-1057,-499,11
Mar 2025,1406,-1052,-332,22
