index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2023,99,4035,115,1783,6032,3026,709,1310,988,6032
Mar 2024,99,5031,141,2110,7381,4366,823,1069,1123,7381
Mar 2025,99,5781,201,2189,8270,4854,1068,1162,1186,8270
