Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,-7143,-1365,-3240,6655,-10031,-4756,6694,23074,19164,22777,18266,9161
Cash from Investing Activity,-5510,-4778,-4627,-9796,3914,-11023,-8408,-5750,-3585,-8048,2179,-15518
Cash from Financing Activity,13136,7903,7253,2896,9370,15440,6372,-15274,-15181,-11572,-25413,6557
Net Cash Flow,483,1759,-613,-245,3254,-338,4658,2049,397,3156,-4968,200
