Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,1445,1655,1823,2340,3192,2132,2710,3709,867,364,1764,4054
Cash from Investing Activity,-2243,-2394,-2297,-3144,-2981,-2621,-4081,-4932,-8176,-1553,-650,-3644
Cash from Financing Activity,699,925,475,671,-202,410,1438,1388,7520,589,-860,-477
Net Cash Flow,-99,186,2,-133,9,-79,66,165,211,-601,253,-68
