Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,1620,634,867,395,314,586,673,931,842,1416,1100,1359
Cash from Investing Activity,394,-67,-95,193,376,-188,-619,11,-207,-66,-192,-319
Cash from Financing Activity,-2007,-643,-643,-551,-818,-453,89,-1047,-558,-1275,-893,-771
Net Cash Flow,7,-75,129,37,-129,-56,143,-105,77,75,16,270
