Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,8228,8532,5112,774,2942,3236,2454,4043,1385,17626,10312,4513
Cash from Investing Activity,-8007,-11465,-1825,-1460,-7649,2487,-1082,-8611,-17041,-15459,-18767,-26259
Cash from Financing Activity,-1109,3445,-3448,716,5120,-6158,-221,3109,15901,-1198,8879,21947
Net Cash Flow,-888,512,-161,30,413,-436,1151,-1459,246,970,424,202
