Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,198,222,433,455,730,807,1280,1375,1372,2630,2746,2463
Cash from Investing Activity,-270,-474,-633,-2482,464,-958,-4657,-1110,-1289,-2313,-2468,-2185
Cash from Financing Activity,65,234,196,2025,-1159,209,3357,-180,-179,-205,-148,-259
Net Cash Flow,-7,-17,-3,-1,34,57,-19,86,-96,112,130,18
