Financial_Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024
Cash from Operating Activity,297,431,555,826,620,1000,1308,1012,1231,1790,2391,3381
Cash from Investing Activity,-574,-500,-300,-1048,-746,-937,-2320,-472,-1008,-1769,-3288,-4311
Cash from Financing Activity,274,58,-236,230,159,-84,1107,-574,-178,-18,985,2954
Net Cash Flow,-2,-11,19,8,32,-22,95,-33,46,4,88,2024
