Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,-555,503,576,1712,-51,1243,-348,4139,-724,1370,1695,-541
Cash from Investing Activity,-271,-118,-159,-953,98,-797,235,-2799,1165,-1814,-189,546
Cash from Financing Activity,497,-1005,-505,-166,-252,-489,-242,-1234,-403,457,-1329,-7
Net Cash Flow,-329,-620,-88,594,-206,-43,-355,106,38,13,177,-2
