Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,2977,7956,7143,11688,12687,10898,11977,12745,17232,16838,19208,24056
Cash from Investing Activity,-13801,-8095,-3873,-3220,-2876,5333,-5456,-7227,-25280,-6773,-7559,-14267
Cash from Financing Activity,10278,1493,-2437,-8862,-5552,-16412,-5466,6656,-4882,-6765,-10450,-10817
Net Cash Flow,-545,1353,833,-394,4259,-181,1055,12174,-12930,3300,1199,-1028
