Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,15601,17805,20377,18083,17366,23754,19300,23980,34963,33065,35654,39562
Cash from Investing Activity,-2890,-4133,-7868,2681,15480,-10594,-5925,-6678,-2243,-668,-13676,-19190
Cash from Financing Activity,-5052,-13956,-11303,-12425,-39255,-10242,-15547,-17565,-28903,-34142,-26092,-19223
Net Cash Flow,7659,-284,1206,8339,-6409,2918,-2172,-263,3817,-1745,-4114,1149
