Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,13146,11880,11455,10824,8023,25336,20169,44327,44381,21683,20301,23512
Cash from Investing Activity,-15378,-9021,-8794,-9490,-11730,-29176,-14012,-9437,-10905,-18179,-14253,-14173
Cash from Financing Activity,1015,-2617,-4729,-2579,6640,-673,-1695,-37090,-23401,-6981,-11097,-7002
Net Cash Flow,-1218,241,-2068,-1245,2933,-4513,4462,-2200,10075,-3477,-5049,2337
