Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,3097,3734,3999,2502,2109,3376,4002,2126,7266,6942,1838,7395
Cash from Investing Activity,659,3444,-517,3645,5171,-1865,-789,-313,-4316,-3214,202,-6076
Cash from Financing Activity,-2548,-5801,-3449,-6290,-7249,-1557,-3201,-1753,-2591,-4067,-2067,-1302
Net Cash Flow,1208,1376,33,-144,31,-46,11,60,359,-339,-28,16
