Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,5844,2594,7876,6897,7888,12379,14633,12785,18789,26270,23323,12078
Cash from Investing Activity,-5433,-5618,-7372,-3857,-5094,-4529,-11387,-19589,-7702,-14748,-10730,-14467
Cash from Financing Activity,-791,3300,-169,-3151,-2710,-8185,1753,5189,-3110,-14657,-5977,-5005
Net Cash Flow,-380,276,334,-111,84,-335,4999,-1615,7977,-3135,6616,-7394
