Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,2823,6313,2579,4043,2160,6164,7215,-618,23430,30987,-5290,2911
Cash from Investing Activity,-8317,-7488,-6292,-4805,-5467,-6480,-3694,-4261,-3295,-3976,-3371,-4261
Cash from Financing Activity,3009,1017,3775,743,3302,269,-3549,5003,-19808,-27398,8587,1362
Net Cash Flow,-2485,-158,63,-20,-5,-47,-28,125,328,-387,-74,12
