Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,6790,7840,7887,9277,8423,11632,10064,14755,11080,13060,17622,16943
Cash from Investing Activity,-284,-2537,-13761,-11770,3595,5065,3593,685,-22321,-8169,1144,-8073
Cash from Financing Activity,-3570,-830,-159,-2275,-12998,-4937,-15100,-12884,4659,-6088,-18257,-6396
Net Cash Flow,2936,4474,-6032,-4767,-979,11760,-1442,2556,-6583,-1197,509,2473
