Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,198,616,731,664,723,950,1321,1455,1716,1462,2180,1905
Cash from Investing Activity,225,-380,-175,267,507,280,142,-810,-271,196,-2496,44
Cash from Financing Activity,-429,-186,-568,-710,-1380,-1342,-825,-861,-1389,-1440,77,-1756
Net Cash Flow,-7,50,-12,221,-149,-112,638,-217,56,217,-239,194
