Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,628,642,858,1170,844,1395,1644,2400,3251,3095,5670,4546
Cash from Investing Activity,180,-103,-40,-961,-452,-749,-643,-1657,-1643,-271,-3918,-1729
Cash from Financing Activity,-769,-497,-817,-33,-408,-594,-890,-509,-1680,-1932,-2269,-2574
Net Cash Flow,40,42,2,176,-16,52,110,234,-73,892,-518,242
