Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,1596,2448,3137,4071,3554,4432,4358,8094,5285,5572,6376,5786
Cash from Investing Activity,291,-1865,-1453,-2893,-3319,-2104,1081,-5433,480,-226,-1318,-23
Cash from Financing Activity,-972,-829,-496,-1571,-269,-2251,-4466,-2987,-4667,-5078,-4767,-5799
Net Cash Flow,915,-246,1188,-392,-35,77,974,-326,1098,267,291,-37
