Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,14751,19369,19109,25223,25067,28593,32369,38802,39949,41965,44338,48908
Cash from Investing Activity,-9452,-1807,-5010,-16895,3104,1645,8968,-7956,-738,548,6091,-2144
Cash from Financing Activity,-5673,-17168,-9666,-11026,-26885,-27897,-39915,-32634,-33581,-47878,-48536,-47438
Net Cash Flow,-374,394,4433,-2698,1286,2341,1422,-1788,5630,-5365,1893,-674
