Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,192,380,317,348,395,251,390,704,677,804,533,233
Cash from Investing Activity,-56,-140,-211,-223,-415,-127,-148,64,-425,-476,-1042,-232
Cash from Financing Activity,-119,-250,-118,-122,30,-149,-130,-668,-323,-319,502,-104
Net Cash Flow,17,-10,-12,3,9,-25,113,100,-71,10,-6,-102
