Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,4242,3549,4594,5868,7288,-4140,-1659,16620,15075,7038,-12685,-10719
Cash from Investing Activity,-5687,-2336,-2359,-4515,-3509,1546,-2212,-11364,-7146,-1053,-13712,-23114
Cash from Financing Activity,1348,-1046,-2278,-1365,-3799,3449,4158,-3418,-8003,-6733,26469,33908
Net Cash Flow,-97,168,-42,-11,-20,856,287,1838,-75,-748,72,75
