Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,490,388,558,650,551,428,2358,860,776,595,666,696
Cash from Investing Activity,-331,-573,-587,-503,66,-353,-1306,-306,-81,-121,-135,-277
Cash from Financing Activity,-39,147,-48,-151,-621,-55,-1019,-575,-717,-439,-534,-419
Net Cash Flow,121,-38,-77,-3,-4,20,33,-20,-22,34,-3,1
