Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,380,747,544,532,999,476,656,1214,505,903,1426,287
Cash from Investing Activity,-100,-173,-114,-1199,-167,-188,-51,-43,-155,-343,-1160,-728
Cash from Financing Activity,-285,-574,-432,667,-808,-268,-643,-862,-570,-387,-410,340
Net Cash Flow,-5,0,-2,1,23,20,-38,309,-220,172,-144,-100
