index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2019,528,-277,-266,-15
Mar 2020,644,-551,116,210
Mar 2021,1104,-855,-269,-21
Mar 2022,951,-553,-526,-128
Mar 2023,636,-387,326,574
Mar 2024,1341,-2992,1412,-239
