index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Dec 2013,297,-574,274,-2
Dec 2014,431,-500,58,-11
Dec 2015,555,-300,-236,19
Dec 2016,826,-1048,230,8
Dec 2017,620,-746,159,32
Dec 2018,1000,-937,-84,-22
Dec 2019,1308,-2320,1107,95
Dec 2020,1012,-472,-574,-33
Dec 2021,1231,-1008,-178,46
Dec 2022,1790,-1769,-18,4
Dec 2023,2391,-3288,985,88
Dec 2024,3381,-4311,2954,2024
