index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2019,8118.0,7525.0,593.0,7.0,63.0,225.0,282.0,149.0,-115.0,321.0,3.72,0.0
Mar 2020,8788.0,7528.0,1259.0,14.0,63.0,469.0,885.0,-33.0,402.0,-165.0,-1.89,0.0
Mar 2021,5249.0,4666.0,583.0,11.0,73.0,530.0,963.0,-838.0,-12.0,-736.0,-7.93,0.0
Mar 2022,8136.0,6998.0,1138.0,14.0,103.0,389.0,997.0,-145.0,-18.0,-118.0,-1.16,0.0
Mar 2023,12418.0,10860.0,1557.0,13.0,123.0,536.0,1227.0,-82.0,-28.0,-59.0,-0.38,0.0
Mar 2024,13996.0,12474.0,1522.0,11.0,246.0,941.0,1655.0,-829.0,-11.0,-736.0,-6.19,0.0
TTM,14783.0,13157.0,1626.0,11.0,273.0,952.0,1825.0,-878.0,,-738.0,-6.07,
