Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,671,584,959,441,1249,1156,1485,1876,1300,2526,2573,2481
Cash from Investing Activity,-246,-450,-705,-150,-957,-852,-1526,433,914,-1507,477,84
Cash from Financing Activity,-357,-181,-246,-295,-232,-353,58,-2242,-2246,-1028,-2830,-2762
Net Cash Flow,68,-47,8,-4,60,-49,17,66,-32,-9,219,-197
