Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,1116,1027,847,1860,1723,1729,1588,2030,1451,2151,2070,2577
Cash from Investing Activity,-494,-1236,-622,-2243,-336,274,-552,-292,-844,-1754,-3435,-344
Cash from Financing Activity,-620,-12,-202,665,-1384,-2039,-1295,-1816,-380,-794,1406,-2182
Net Cash Flow,1,-221,23,282,3,-36,-259,-79,227,-398,41,52
