Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,323,428,534,562,730,588,554,531,922,644,749,779
Cash from Investing Activity,-130,-140,-237,-1313,-306,-276,-26,-231,-224,-234,-122,-210
Cash from Financing Activity,-188,-301,-215,502,-496,-324,-428,-405,-688,-402,-608,-563
Net Cash Flow,5,-13,82,-249,-72,-12,100,-106,9,8,19,6
