Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,7102,7344,9843,9799,10627,13169,12583,14690,12527,15776,18878,17179
Cash from Investing Activity,-3881,-3254,-5275,-3921,-3251,-7114,-5546,-6174,5740,-2238,-5732,1563
Cash from Financing Activity,-3310,-4122,-4661,-5613,-7301,-6221,-6869,-8181,-18634,-13580,-13006,-18551
Net Cash Flow,-90,-32,-93,266,75,-166,169,334,-367,-43,139,191
