Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,1098,1047,1187,1227,1092,1499,1614,2115,1802,1488,2013,1987
Cash from Investing Activity,-104,-876,-730,-807,-541,338,-517,-1404,-1273,-583,-971,-449
Cash from Financing Activity,-804,-417,-374,-339,-577,-1888,-1043,-613,-490,-1035,-1161,-1405
Net Cash Flow,190,-245,82,81,-27,-51,54,97,38,-130,-119,132
