Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,660,665,818,649,516,1062,1214,2007,1016,1419,1436,1363
Cash from Investing Activity,-202,-186,-203,-125,59,-367,-22,-933,441,-928,127,-621
Cash from Financing Activity,-339,-625,-601,-574,-567,-698,-1147,-1058,-1290,-560,-1542,-649
Net Cash Flow,119,-147,14,-51,8,-3,45,16,167,-69,21,93
