index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,281,-198,-50,33
Mar 2015,312,-230,-66,16
Mar 2016,254,-86,-127,41
Mar 2017,286,-222,-58,6
Mar 2018,421,-337,-96,-12
Mar 2019,432,-233,-160,39
Mar 2020,352,-6,-329,16
Mar 2021,736,-540,-144,52
Mar 2022,845,-971,182,56
Mar 2023,956,-383,-404,169
Mar 2024,1221,-432,-594,196
Mar 2025,1157,-434,-628,94
