index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2008,31,88,55,84,259,99,2,0,158,259
Mar 2009,31,121,13,77,242,97,1,0,144,242
Mar 2010,31,144,34,87,296,90,0,0,206,296
Mar 2011,31,151,25,94,302,91,12,0,199,302
Mar 2012,31,161,34,108,335,100,10,0,224,335
Mar 2013,31,164,59,112,365,99,21,0,245,365
Mar 2014,31,205,0,153,388,97,13,0,279,388
Mar 2015,31,252,0,182,466,98,3,0,364,466
