Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,-922,-244,1055,2385,183,682,-4347,-1457,17909,9248,-7074,-5630
Cash from Investing Activity,-2903,-4524,-4357,-5506,-5875,-5467,-7174,-6870,-19686,-3252,-8866,-5615
Cash from Financing Activity,4508,5577,1669,2967,6108,6314,13194,6933,406,-5883,15946,12281
Net Cash Flow,684,810,-1633,-154,416,1529,1672,-1394,-1370,113,6,1037
