Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,4059,4995,6449,8482,10282,11788,6601,3496,8856,1840,10815,16801
Cash from Investing Activity,-3119,-4997,-4491,-7230,-9173,-8302,-3540,-557,-7291,-239,-8820,-11865
Cash from Financing Activity,-979,-74,-2004,-1237,-1129,-3436,-2948,-3104,-1545,-1607,-1214,-4062
Net Cash Flow,-39,-76,-45,16,-20,50,113,-165,20,-6,780,874
