Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,6297,8219,10418,10949,10476,5332,5348,7328,15640,17387,18869,20826
Cash from Investing Activity,-3411,-6565,-5726,-2389,-15556,-9303,-1640,-2698,1075,-5730,-5414,-1907
Cash from Financing Activity,-1965,-2466,8028,-9330,4506,3925,-2949,-5019,-16731,-10554,-14680,-18980
Net Cash Flow,921,-811,12720,-770,-574,-46,758,-389,-17,1103,-1224,-61
