Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,480,557,826,1038,1150,776,954,1216,1947,1912,2459,1261
Cash from Investing Activity,-255,-305,-521,-406,-1140,-478,-685,-83,75,-2195,-2707,-269
Cash from Financing Activity,-231,-248,-303,-631,2,-314,-246,-1091,-35,-532,-797,-799
Net Cash Flow,-5,3,3,0,13,-17,23,41,1987,-816,-1045,193
