Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,3357,3959,5616,6686,7082,3907,2196,6555,6170,8985,4959,12135
Cash from Investing Activity,-2375,-2176,-1502,-3949,-4186,-3104,-310,-2225,407,-5556,-7220,-763
Cash from Financing Activity,-665,507,-1187,-1889,-2285,-1539,-2731,-5715,-5980,-5193,2376,-6710
Net Cash Flow,316,2290,2927,848,611,-736,-844,-1386,596,-1765,115,4662
