Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,275,646,1237,1420,3279,1955,1651,4381,3329,5016,2387,2435
Cash from Investing Activity,-246,-819,-1017,-1446,-1787,-1927,-2904,-1563,597,-3211,-3971,-4242
Cash from Financing Activity,108,118,93,365,-1915,864,1919,-1947,-1365,-2969,1814,800
Net Cash Flow,137,-55,313,340,-424,892,666,871,2561,-1164,230,-1007
